logFC	logCPM	LR	PValue	FDR	comparison	rowname
1	-1.94447580597627	13.1299002311435	80.1094280317137	3.54238132583151e-19	8.1829008626708e-17	gWM_line_Lesion_1 - gWM_line_Lesion_2	IGHG2
2	-1.87461308545426	13.1504322247303	74.7285415796128	5.40096349258793e-18	6.23811283393906e-16	gWM_line_Lesion_1 - gWM_line_Lesion_2	IGHG1
3	-1.83433436910817	14.1848599835105	72.2536221465539	1.89243023938177e-17	1.45717128432397e-15	gWM_line_Lesion_1 - gWM_line_Lesion_2	IGHG4
4	1.62630517694531	14.2336740933528	69.2192823418258	8.81024696647763e-17	5.08791762314083e-15	gWM_line_Lesion_1 - gWM_line_Lesion_2	MBP
5	1.11271867858153	11.9240589001051	51.1659899430834	8.48764819610317e-13	3.92129346659966e-11	gWM_line_Lesion_1 - gWM_line_Lesion_2	FAM107A
6	-1.09639451040123	12.3318537595469	49.2295683080836	2.27692600195758e-12	8.76616510753667e-11	gWM_line_Lesion_1 - gWM_line_Lesion_2	CTSB
7	-1.45609444480586	13.1990894624838	48.6987419773593	2.98457807030492e-12	9.84910763200623e-11	gWM_line_Lesion_1 - gWM_line_Lesion_2	IGHG3
8	-1.09876353656807	12.6215790995815	46.3911084618299	9.68540249929956e-12	2.79665997167275e-10	gWM_line_Lesion_1 - gWM_line_Lesion_2	APOC1
9	1.01043735941106	11.690278520029	36.983884926651	1.19109620458185e-09	3.05714692509342e-08	gWM_line_Lesion_1 - gWM_line_Lesion_2	MTURN
10	1.21619109760672	11.8490377076338	36.578222621295	1.46661079414822e-09	3.38787093448238e-08	gWM_line_Lesion_1 - gWM_line_Lesion_2	PLP1
11	-1.01056189574922	12.8608586835774	34.6617695698674	3.92259797432682e-09	7.95034475590434e-08	gWM_line_Lesion_1 - gWM_line_Lesion_2	APOE
12	-0.902696771588216	12.293231981163	34.5614503321889	4.13004922384641e-09	7.95034475590434e-08	gWM_line_Lesion_1 - gWM_line_Lesion_2	VIM
